"","Primer_name","Family","Reads","Total_reads","Relative_abundance","Target","Gen","Max","Min","Assay"
"1","16S.1100.F16_100_F.1492R_100_R","Acidaminococcaceae",5,93200,5.36480686695279e-05,"Bacteria","16S",500,400,"Test"
"2","16S.1100.F16_100_F.1492R_100_R","Actinomycetaceae",54,93200,0.000579399141630901,"Bacteria","16S",500,400,"Test"
"3","16S.1100.F16_100_F.1492R_100_R","Bacillaceae",270,93200,0.00289699570815451,"Bacteria","16S",500,400,"Test"
"4","16S.1100.F16_100_F.1492R_100_R","Bacteroidaceae",2849,93200,0.030568669527897,"Bacteria","16S",500,400,"Test"
"5","16S.1100.F16_100_F.1492R_100_R","Bifidobacteriaceae",2110,93200,0.0226394849785408,"Bacteria","16S",500,400,"Test"
"6","16S.1100.F16_100_F.1492R_100_R","Brachyspiraceae",23,93200,0.000246781115879828,"Bacteria","16S",500,400,"Test"
"7","16S.1100.F16_100_F.1492R_100_R","Brucellaceae",5,93200,5.36480686695279e-05,"Bacteria","16S",500,400,"Test"
"8","16S.1100.F16_100_F.1492R_100_R","Campylobacteraceae",46,93200,0.000493562231759657,"Bacteria","16S",500,400,"Test"
"9","16S.1100.F16_100_F.1492R_100_R","Carnobacteriaceae",6775,93200,0.0726931330472103,"Bacteria","16S",500,400,"Test"
"10","16S.1100.F16_100_F.1492R_100_R","Christensenellaceae",51,93200,0.000547210300429185,"Bacteria","16S",500,400,"Test"
"11","16S.1100.F16_100_F.1492R_100_R","Clostridiaceae",22254,93200,0.238776824034335,"Bacteria","16S",500,400,"Test"
"12","16S.1100.F16_100_F.1492R_100_R","Clostridiales Family XIII. Incertae Sedis",4228,93200,0.0453648068669528,"Bacteria","16S",500,400,"Test"
"13","16S.1100.F16_100_F.1492R_100_R","Comamonadaceae",4,93200,4.29184549356223e-05,"Bacteria","16S",500,400,"Test"
"14","16S.1100.F16_100_F.1492R_100_R","Coriobacteriaceae",649,93200,0.00696351931330472,"Bacteria","16S",500,400,"Test"
"15","16S.1100.F16_100_F.1492R_100_R","Corynebacteriaceae",18,93200,0.0001931330472103,"Bacteria","16S",500,400,"Test"
