"","Primer_name","Reads","Genus","Total_reads","Relative_abundance","Target","Gen","Max","Min","Assay"
"1","16S.1100.F16_100_F.1492R_100_R",54,"Actinomyces",127275,0.000424278137890395,"Bacteria","16S",500,400,"Test"
"2","16S.1100.F16_100_F.1492R_100_R",137,"Agathobaculum",127275,0.00107640934983304,"Bacteria","16S",500,400,"Test"
"3","16S.1100.F16_100_F.1492R_100_R",12,"Alkalibacter",127275,9.428403064231e-05,"Bacteria","16S",500,400,"Test"
"4","16S.1100.F16_100_F.1492R_100_R",80,"Allobaculum",127275,0.000628560204282066,"Bacteria","16S",500,400,"Test"
"5","16S.1100.F16_100_F.1492R_100_R",11,"Alloprevotella",127275,8.64270280887841e-05,"Bacteria","16S",500,400,"Test"
"6","16S.1100.F16_100_F.1492R_100_R",3,"Amaricoccus",127275,2.35710076605775e-05,"Bacteria","16S",500,400,"Test"
"7","16S.1100.F16_100_F.1492R_100_R",1677,"Anaerobiospirillum",127275,0.0131761932822628,"Bacteria","16S",500,400,"Test"
"8","16S.1100.F16_100_F.1492R_100_R",6,"Anaerofilum",127275,4.7142015321155e-05,"Bacteria","16S",500,400,"Test"
"9","16S.1100.F16_100_F.1492R_100_R",135,"Anaerotignum",127275,0.00106069534472599,"Bacteria","16S",500,400,"Test"
"10","16S.1100.F16_100_F.1492R_100_R",23,"Angelakisella",127275,0.000180711058731094,"Bacteria","16S",500,400,"Test"
"11","16S.1100.F16_100_F.1492R_100_R",116,"Arthrobacter",127275,0.000911412296208996,"Bacteria","16S",500,400,"Test"
"12","16S.1100.F16_100_F.1492R_100_R",57,"Bacillus",127275,0.000447849145550972,"Bacteria","16S",500,400,"Test"
"13","16S.1100.F16_100_F.1492R_100_R",2813,"Bacteroides",127275,0.0221017481830682,"Bacteria","16S",500,400,"Test"
"14","16S.1100.F16_100_F.1492R_100_R",2110,"Bifidobacterium",127275,0.0165782753879395,"Bacteria","16S",500,400,"Test"
"15","16S.1100.F16_100_F.1492R_100_R",3529,"Blautia",127275,0.0277273620113927,"Bacteria","16S",500,400,"Test"
"16","16S.1100.F16_100_F.1492R_100_R",4,"Brachymonas",127275,3.14280102141033e-05,"Bacteria","16S",500,400,"Test"
"17","16S.1100.F16_100_F.1492R_100_R",23,"Brachyspira",127275,0.000180711058731094,"Bacteria","16S",500,400,"Test"
"18","16S.1100.F16_100_F.1492R_100_R",391,"Brochothrix",127275,0.0030720879984286,"Bacteria","16S",500,400,"Test"
"19","16S.1100.F16_100_F.1492R_100_R",1301,"Butyricicoccus",127275,0.0102219603221371,"Bacteria","16S",500,400,"Test"
"20","16S.1100.F16_100_F.1492R_100_R",218,"Butyrivibrio",127275,0.00171282655666863,"Bacteria","16S",500,400,"Test"
"21","16S.1100.F16_100_F.1492R_100_R",46,"Campylobacter",127275,0.000361422117462188,"Bacteria","16S",500,400,"Test"
"22","16S.1100.F16_100_F.1492R_100_R",6775,"Carnobacterium",127275,0.0532311923001375,"Bacteria","16S",500,400,"Test"
"23","16S.1100.F16_100_F.1492R_100_R",35,"Catenibacterium",127275,0.000274995089373404,"Bacteria","16S",500,400,"Test"
