"","Primer_name","Phyla","Reads","Total_reads","Relative_abundance","Target","Gen","Max","Min","Assay"
"1","16S.1100.F16_100_F.1492R_100_R","Actinobacteria",2617,170509,0.015348163440053,"Bacteria","16S",500,400,"Test"
"2","16S.1100.F16_100_F.1492R_100_R","Bacteroidetes",4469,170509,0.0262097601886117,"Bacteria","16S",500,400,"Test"
"3","16S.1100.F16_100_F.1492R_100_R","Chlorophyta",8,170509,4.69183444862148e-05,"Bacteria","16S",500,400,"Test"
"4","16S.1100.F16_100_F.1492R_100_R","Firmicutes",156779,170509,0.919476391275534,"Bacteria","16S",500,400,"Test"
"5","16S.1100.F16_100_F.1492R_100_R","Fusobacteria",31,170509,0.000181808584884082,"Bacteria","16S",500,400,"Test"
"6","16S.1100.F16_100_F.1492R_100_R","Proteobacteria",6565,170509,0.038502366444,"Bacteria","16S",500,400,"Test"
"7","16S.1100.F16_100_F.1492R_100_R","Spirochaetes",23,170509,0.000134890240397868,"Bacteria","16S",500,400,"Test"
"8","16S.1100.F16_100_F.1492R_100_R","Streptophyta",3,170509,1.75943791823306e-05,"Bacteria","16S",500,400,"Test"
"9","16S.1100.F16_100_F.1492R_100_R","Tenericutes",14,170509,8.21071028508759e-05,"Bacteria","16S",500,400,"Test"
"10","16SA_L_110_F.16SB_H_110_R","Chordata",32512,32512,1,"Amphibia","16S",600,500,"Fox_Raccoon"
"11","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Annelida",16,77605,0.000206172282713743,"Eukaryota","18S",400,300,"Test"
"12","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Apicomplexa",38837,77605,0.500444558984601,"Eukaryota","18S",400,300,"Test"
"13","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Arthropoda",107,77605,0.00137877714064815,"Eukaryota","18S",400,300,"Test"
"14","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Ascomycota",14190,77605,0.182849043231751,"Eukaryota","18S",400,300,"Test"
"15","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Basidiomycota",3381,77605,0.0435667804909477,"Eukaryota","18S",400,300,"Test"
"16","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Blastocladiomycota",25,77605,0.000322144191740223,"Eukaryota","18S",400,300,"Test"
"17","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Chlorophyta",7426,77605,0.0956897107145158,"Eukaryota","18S",400,300,"Test"
"18","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Chordata",396,77605,0.00510276399716513,"Eukaryota","18S",400,300,"Test"
"19","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Chytridiomycota",68,77605,0.000876232201533406,"Eukaryota","18S",400,300,"Test"
"20","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Cnidaria",10,77605,0.000128857676696089,"Eukaryota","18S",400,300,"Test"
"21","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Cryptomycota",6,77605,7.73146060176535e-05,"Eukaryota","18S",400,300,"Test"
"22","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Mucoromycota",11978,77605,0.154345725146576,"Eukaryota","18S",400,300,"Test"
"23","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Platyhelminthes",981,77605,0.0126409380838863,"Eukaryota","18S",400,300,"Test"
"24","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Streptophyta",53,77605,0.000682945686489273,"Eukaryota","18S",400,300,"Test"
"25","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Zoopagomycota",131,77605,0.00168803556471877,"Eukaryota","18S",400,300,"Test"
"26","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Apicomplexa",71413,141179,0.505833020491716,"Eukaryota","18S",400,300,"Test"
"27","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Arthropoda",228,141179,0.00161497106510175,"Eukaryota","18S",400,300,"Test"
"28","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Ascomycota",27161,141179,0.192386969733459,"Eukaryota","18S",400,300,"Test"
"29","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Basidiomycota",4952,141179,0.0350760382209819,"Eukaryota","18S",400,300,"Test"
"30","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Blastocladiomycota",27,141179,0.000191246573498891,"Eukaryota","18S",400,300,"Test"
"31","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Chlorophyta",7953,141179,0.0563327407050624,"Eukaryota","18S",400,300,"Test"
"32","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Chordata",175,141179,0.00123956112452985,"Eukaryota","18S",400,300,"Test"
"33","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Chytridiomycota",604,141179,0.00427825668123446,"Eukaryota","18S",400,300,"Test"
"34","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Cnidaria",78,141179,0.00055249010121902,"Eukaryota","18S",400,300,"Test"
"35","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Colponemidia",5,141179,3.54160321294243e-05,"Eukaryota","18S",400,300,"Test"
"36","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Cryptomycota",4,141179,2.83328257035395e-05,"Eukaryota","18S",400,300,"Test"
"37","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Mucoromycota",25450,141179,0.18026760353877,"Eukaryota","18S",400,300,"Test"
"38","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Platyhelminthes",2967,141179,0.0210158734656004,"Eukaryota","18S",400,300,"Test"
"39","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Streptophyta",23,141179,0.000162913747795352,"Eukaryota","18S",400,300,"Test"
"40","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Zoopagomycota",139,141179,0.000984565693197997,"Eukaryota","18S",400,300,"Test"
"41","18S9modF_88_F.18S637modR_89_R","Apicomplexa",745,7599,0.0980392156862745,"Eukaryota","18S",700,600,"Test"
"42","18S9modF_88_F.18S637modR_89_R","Arthropoda",152,7599,0.0200026319252533,"Eukaryota","18S",700,600,"Test"
"43","18S9modF_88_F.18S637modR_89_R","Ascomycota",290,7599,0.0381629161731807,"Eukaryota","18S",700,600,"Test"
"44","18S9modF_88_F.18S637modR_89_R","Basidiomycota",178,7599,0.023424134754573,"Eukaryota","18S",700,600,"Test"
"45","18S9modF_88_F.18S637modR_89_R","Chlorophyta",96,7599,0.0126332412159495,"Eukaryota","18S",700,600,"Test"
"46","18S9modF_88_F.18S637modR_89_R","Chordata",3973,7599,0.522831951572575,"Eukaryota","18S",700,600,"Test"
"47","18S9modF_88_F.18S637modR_89_R","Chytridiomycota",7,7599,0.000921173838662982,"Eukaryota","18S",700,600,"Test"
"48","18S9modF_88_F.18S637modR_89_R","Cryptomycota",78,7599,0.0102645084879589,"Eukaryota","18S",700,600,"Test"
"49","18S9modF_88_F.18S637modR_89_R","Nematoda",202,7599,0.0265824450585603,"Eukaryota","18S",700,600,"Test"
"50","18S9modF_88_F.18S637modR_89_R","Platyhelminthes",1811,7599,0.23832083168838,"Eukaryota","18S",700,600,"Test"
"51","18S9modF_88_F.18S637modR_89_R","Streptophyta",67,7599,0.0088169495986314,"Eukaryota","18S",700,600,"Test"
"52","27M_F_98_F.CCR_98_R","Actinobacteria",14445,271197,0.0532638635383135,"Bacteria","16S",400,300,"Test"
"53","27M_F_98_F.CCR_98_R","Bacteroidetes",13990,271197,0.051586116365594,"Bacteria","16S",400,300,"Test"
"54","27M_F_98_F.CCR_98_R","Candidatus Melainabacteria",18,271197,6.63724156240666e-05,"Bacteria","16S",400,300,"Test"
"55","27M_F_98_F.CCR_98_R","Chlorophyta",4,271197,1.4749425694237e-05,"Bacteria","16S",400,300,"Test"
