"","Primer_comb_ID","Reads_non_rare"
"1","Euk_16S_01",6489
"2","Euk_18S_01",22276
"3","Euk_COI_01",120338
"4","Euk_18S_02",499056
"5","Euk_18S_03",18255
"6","Euk_16S_02",3203723
"7","Bac_16S_01",745016
"8","Euk_18S_04",38047
"9","Euk_18S_05",226319
"10","Euk_18S_06",19502
"11","Euk_18S_07",18166
"12","Euk_28S_01",11547
"13","Euk_28S_02",815741
"14","Euk_16S_03",127853
"15","Euk_18S_08",10479
"16","Bac_16S_02",476047
"17","Euk_18S_09",229719
"18","Euk_28S_03",1829976
"19","Euk_COI_02",46520
"20","Euk_18S_10",121454
"21","Euk_18S_11",323721
"22","Euk_12S_01",13147
"23","Euk_18S_12",10762
"24","Euk_18S_13",502561
"25","Euk_18S_14",18664
"26","Euk_18S_15",86187
"27","Bac_16S_03",284702
"28","Euk_rbcL_01",361153
"29","Euk_18S_16",74056
"30","Euk_18S_17",64298
"31","Bac_16S_04",207168
"32","Euk_ITS_01",84455
"33","Euk_18S_18",944558
"34","Euk_COI_03",152465
"35","Euk_18S_19",32502
"36","Euk_18S_20",412088
"37","Bac_16S_05",218729
"38","Euk_18S_21",431499
"39","Euk_COI_04",17842
