,Primer_name,Phylum,ASV_Phylum,Order,ASV_Order,Family,ASV_Family,Genus,ASV_Genus
1,Coleop_16Sc_68_F.Coleop_16Sd_68_R,Chordata,5525,Carnivora,5525,Canidae,5515,Vulpes,5511
2,Hadz_566_6_F.Mach2Gen_7_R,Nematoda,13083,Strongylida,11354,Angiostrongylidae,9317,Angiostrongylus,9317
3,NdmlCOIlintF_1_72_F.dgHCO2198_72_R,Chordata,49306,Carnivora,47822,Canidae,25321,Procyon,21752
4,MarkN_10_F.Proti440R_28_R,Ascomycota,171716,Saccharomycetales,136601,Canidae,109860,Pichia,21620
5,Gen_600_7_F.Hadz_1200_5_R,Nematoda,9389,Strongylida,8101,Angiostrongylidae,6387,Angiostrongylus,6373
6,L2513_64_F.H2714_64_R,Chordata,3203723,Carnivora,3190893,Procyonidae,1712518,Procyon,1712518
7,27M_F_98_F.CCR_98_R,Firmicutes,408746,Clostridiales,219343,Enterobacteriaceae,112643,Clostridium,65888
8,Gen_600_7_F.Mach2Gen_7_R,Nematoda,21287,Strongylida,18051,Angiostrongylidae,14651,Angiostrongylus,14638
9,MarkN_10_F.Euk360_CR_21_R,Ascomycota,82681,Saccharomycetales,57299,Mucoraceae,27073,Mucor,12189
10,Mach1_9_F.Mach2Gen_7_R,Nematoda,9591,Strongylida,8332,Angiostrongylidae,6880,Angiostrongylus,6861
11,Proti643_31_F.Proti1580R_32_R,Nematoda,5861,Strongylida,4780,Angiostrongylidae,3625,Angiostrongylus,3625
12,NLF184cw_74_F.NL818cw_74_R,Ascomycota,5118,Saccharomycetales,2303,Saccharomycetaceae,778,Nematopsis,1209
13,LSU_Fwd_2_3Mod_55_F.LSU_Rev_4_54_R,Basidiomycota,336633,Haplotaxida,202013,Megascolecidae,202013,Plutellus,202009
14,Ins16S_1shortF_70_F.Ins16S_1shortR_70_R,Chordata,86997,Carnivora,86997,Canidae,69598,Vulpes,69588
15,Proti643_31_F.wang1141CR_14_R,Mucoromycota,5534,Mucorales,5417,Mucoraceae,4633,Pilaira,2881
16,16S.1100.F16_100_F.1492R_100_R,Firmicutes,335286,Clostridiales,237333,Peptostreptococcaceae,80912,Clostridium,113917
17,Nem_0425_6CR_14_F.EukB_MH_24_R,Chordata,66016,Eugregarinorida,40287,Monocystidae,40016,Monocystis,40016
18,D3A_5Mod_46_F.D3B_5Mod_46_R,Ascomycota,717326,Saccharomycetales,585189,Mucoraceae,271654,Mucor,214861
19,fwhF2_106_F.fwhR2n_106_R,Arthropoda,12934,Diptera,8111,Didemnidae,3893,Didemnum,3893
20,Gen_600_7_F.Nem_0425_4_2_R,Ascomycota,33050,Saccharomycetales,30499,Dipodascaceae,10396,Galactomyces,10387
21,Proti15_25_F.Proti440R_28_R,Ascomycota,114886,Saccharomycetales,94775,Canidae,38431,Monocystis,25961
22,Ave12F_91_F.Ave12R_92_R,Chordata,12980,Galliformes,11381,Phasianidae,11381,Gallus,11381
23,Proti628_30_F.wang1141CR_14_R,Firmicutes,3681,Erysipelotrichales,1608,Erysipelotrichaceae,1608,Bacteroides,1370
24,Prot1702_32_F.wang1624CR6S_16_R,Chordata,157242,Saccharomycetales,97143,Monocystidae,72487,Monocystis,72487
25,18S9modF_88_F.18S637modR_89_R,Chordata,5450,Carnivora,5435,Canidae,5435,Canis,5423
26,Hadz_566_6_F.Nem_0425_4_2_R,Ascomycota,29824,Saccharomycetales,27763,Dipodascaceae,10401,Galactomyces,10399
27,F1073_101_F.1492R_100_R,Firmicutes,211908,Clostridiales,145762,Peptostreptococcaceae,52353,Clostridium,37135
28,F52_69_F.R193_69_R,Streptophyta,360200,Fagales,200267,Fagaceae,108761,Quercus,104691
29,Prot1702_32_F.EukB_MH_24_R,Nematoda,30401,Strongylida,26933,Angiostrongylidae,20859,Angiostrongylus,20859
30,Proti1580_33_F.wang1624CR6S_16_R,Chordata,27825,Eugregarinorida,4391,Monocystidae,3807,Monocystis,3807
31,ADM330_18_F.Klin0785_CR_19_R,Firmicutes,113803,Clostridiales,68904,Enterobacteriaceae,35147,Clostridium,18065
32,S2F_80_F.S3R_81_R,Streptophyta,84453,Rosales,28448,Rosaceae,28346,Prunus,20857
33,18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R,Ascomycota,360207,Eugregarinorida,314881,Monocystidae,313169,Monocystis,313169
34,mlCOIintF_XT_104_F.JgHCO2198_104_R,Chordata,53284,Carnivora,51403,Canidae,25303,Procyon,25182
35,Prot1702_32_F.EukB_MV_25_R,Nematoda,14193,Strongylida,12818,Angiostrongylidae,10976,Angiostrongylus,10931
36,18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R,Apicomplexa,166244,Eugregarinorida,152369,Monocystidae,151239,Monocystis,151239
37,Klin0341_19_F.Klin0785_CR_19_R,Firmicutes,116173,Clostridiales,71412,Enterobacteriaceae,38949,Clostridium,18949
38,wang1141_13_F.Nem_0425_6_3_R,Ascomycota,159742,Saccharomycetales,130004,Saccharomycetaceae,54154,Monocystis,46012
39,ZBJ_ArtF1c_67_F.ZBJ_ArtR2c_67_R,Arthropoda,17842,Diptera,16768,Drosophilidae,3297,Drosophila,3725
