"","Primer_name","Phylum","ASV_Phylum","Order","ASV_Order","Family","ASV_Family","Genus","ASV_Genus"
"1","Coleop_16Sc_68_F.Coleop_16Sd_68_R","Chordata",5515,"Carnivora",5515,"Canidae",5515,"Vulpes",5511
"2","Hadz_566_6_F.Mach2Gen_7_R","Nematoda",13083,"Strongylida",11354,"Angiostrongylidae",9317,"Angiostrongylus",9317
"3","NdmlCOIlintF_1_72_F.dgHCO2198_72_R","Chordata",25420,"Carnivora",25321,"Canidae",25321,"Taleporia",9082
"4","515F_99_F.R1073_103_R","Firmicutes",22343,"Clostridiales",14357,"Peptostreptococcaceae",8885,"Collinsella",3017
"5","MarkN_10_F.Proti440R_28_R","Chordata",110087,"Carnivora",109905,"Canidae",109860,"Mesocestoides",16323
"6","Gen_600_7_F.Hadz_1200_5_R","Nematoda",9389,"Strongylida",8101,"Angiostrongylidae",6387,"Angiostrongylus",6373
"7","L2513_64_F.H2714_64_R","Chordata",1451167,"Carnivora",1445681,"Canidae",1445073,"Vulpes",1443250
"8","27M_F_98_F.CCR_98_R","Firmicutes",293502,"Clostridiales",172554,"Peptostreptococcaceae",60685,"Clostridium",31622
"9","Gen_600_7_F.Mach2Gen_7_R","Nematoda",21287,"Strongylida",18051,"Angiostrongylidae",14651,"Angiostrongylus",14638
"10","MarkN_10_F.Euk360_CR_21_R","Ascomycota",29481,"Mucorales",22549,"Mucoraceae",20692,"Mesocestoides",10896
"11","Mach1_9_F.Mach2Gen_7_R","Nematoda",9591,"Strongylida",8332,"Angiostrongylidae",6880,"Angiostrongylus",6861
"12","Proti643_31_F.Proti1580R_32_R","Nematoda",5861,"Strongylida",4780,"Angiostrongylidae",3625,"Angiostrongylus",3625
"13","NLF184cw_74_F.NL818cw_74_R","Ascomycota",4818,"Saccharomycetales",2003,"Saccharomycetaceae",778,"Nematopsis",1209
"14","LSU_Fwd_2_3Mod_55_F.LSU_Rev_4_54_R","Basidiomycota",67997,"Haplotaxida",38613,"Megascolecidae",38613,"Plutellus",38613
"15","Proti643_31_F.wang1141CR_14_R","Mucoromycota",5534,"Mucorales",5417,"Mucoraceae",4633,"Pilaira",2881
"16","16S.1100.F16_100_F.1492R_100_R","Firmicutes",252956,"Clostridiales",191081,"Peptostreptococcaceae",68420,"Clostridium",84144
"17","Nem_0425_6CR_14_F.EukB_MH_24_R","Chordata",55857,"Mucorales",15876,"Mucoraceae",15679,"Mucor",15432
"18","D3A_5Mod_46_F.D3B_5Mod_46_R","Nematoda",238007,"Mucorales",198179,"Mucoraceae",180626,"Angiostrongylus",154680
"19","fwhF2_106_F.fwhR2n_106_R","Arthropoda",5389,"Enterogona",3893,"Didemnidae",3893,"Didemnum",3893
"20","Gen_600_7_F.Nem_0425_4_2_R","Nematoda",8894,"Strongylida",4131,"Capillariidae",2759,"Eucoleus",2384
"21","Proti15_25_F.Proti440R_28_R","Chordata",38431,"Carnivora",38431,"Canidae",38431,"Mesocestoides",8670
"22","Ave12F_91_F.Ave12R_92_R","Chordata",10141,"Galliformes",8570,"Phasianidae",8570,"Gallus",8570
"23","Proti628_30_F.wang1141CR_14_R","Firmicutes",3385,"Erysipelotrichales",1601,"Erysipelotrichaceae",1601,"Streptococcus",1000
"24","Prot1702_32_F.wang1624CR6S_16_R","Chordata",130864,"Saccharomycetales",22402,"Monocystidae",20718,"Monocystis",20718
"25","18S9modF_88_F.18S637modR_89_R","Chordata",5450,"Carnivora",5435,"Canidae",5435,"Canis",5423
"26","Hadz_566_6_F.Nem_0425_4_2_R","Nematoda",5643,"Strongylida",2844,"Saccharomycetaceae",1442,"Eucoleus",1278
"27","F1073_101_F.1492R_100_R","Firmicutes",164346,"Clostridiales",124363,"Peptostreptococcaceae",47979,"Blautia",26277
"28","Ins16S_1shortF_70_F.Ins16S_1shortR_70_R","Chordata",69598,"Carnivora",69598,"Canidae",69598,"Vulpes",69588
"29","F52_69_F.R193_69_R","Streptophyta",95871,"Fagales",41020,"Betulaceae",19459,"Quercus",12773
"30","Prot1702_32_F.EukB_MH_24_R","Nematoda",30401,"Strongylida",26933,"Angiostrongylidae",20859,"Angiostrongylus",20859
"31","Proti1580_33_F.wang1624CR6S_16_R","Chordata",27825,"Eugregarinorida",4387,"Monocystidae",3805,"Monocystis",3805
"32","ADM330_18_F.Klin0785_CR_19_R","Firmicutes",65592,"Clostridiales",45136,"Peptostreptococcaceae",22552,"Fusobacterium",5736
"33","16SA_L_110_F.16SB_H_110_R","Chordata",43804,"Carnivora",43757,"Canidae",43722,"Vulpes",43559
"34","S2F_80_F.S3R_81_R","Streptophyta",47922,"Fagales",10923,"Rosaceae",9618,"Beta",8578
"35","18S_0067a_deg_5Mod_52_F.NSR399_5Mod_52_R","Apicomplexa",113340,"Eugregarinorida",93854,"Monocystidae",92381,"Monocystis",92381
"36","mlCOIintF_XT_104_F.JgHCO2198_104_R","Chordata",25542,"Carnivora",25303,"Canidae",25303,"Taleporia",8723
"37","Prot1702_32_F.EukB_MV_25_R","Nematoda",14193,"Strongylida",12818,"Angiostrongylidae",10976,"Angiostrongylus",10931
"38","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Apicomplexa",57032,"Eugregarinorida",48069,"Monocystidae",47038,"Monocystis",47038
"39","Klin0341_19_F.Klin0785_CR_19_R","Firmicutes",64731,"Clostridiales",45319,"Peptostreptococcaceae",23699,"Fusobacterium",6192
"40","wang1141_13_F.Nem_0425_6_3_R","Apicomplexa",32309,"Saccharomycetales",21758,"Saccharomycetaceae",18166,"Monocystis",12188
"41","ZBJ_ArtF1c_67_F.ZBJ_ArtR2c_67_R","Arthropoda",1504,"Diptera",1481,"Drosophilidae",899,"Drosophila",899
