"job_name";"taxonomy";"coverage";"specificity";"accessions";"eligible";"match";"mismatch";"nodata";"outgroup_matchable";"outgroup_matched"
"Bac_16S_02";"SILVA (only NR);Unclassified;";"0.0";"0";"0";"0";"0";"0";"0";"209781";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;";"0.0";"0";"20197";"3765";"0";"3765";"16432";"206016";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Aenigmarchaeota;";"0.0";"0";"319";"19";"0";"19";"300";"209762";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Aenigmarchaeota;Aenigmarchaeia;";"0.0";"0";"161";"13";"0";"13";"148";"209768";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;";"0.0";"0";"161";"13";"0";"13";"148";"209768";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;Candidatus Aenigmarchaeum;";"0.0";"0";"16";"1";"0";"1";"15";"209780";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);";"0.0";"0";"155";"6";"0";"6";"149";"209775";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Altiarchaeota;";"0.0";"0";"41";"8";"0";"8";"33";"209773";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;";"0.0";"0";"41";"8";"0";"8";"33";"209773";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;";"0.0";"0";"41";"8";"0";"8";"33";"209773";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;Altiarchaeaceae;";"0.0";"0";"41";"8";"0";"8";"33";"209773";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;Altiarchaeaceae;Candidatus Altiarchaeum;";"0.0";"0";"41";"8";"0";"8";"33";"209773";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Asgardarchaeota;";"0.0";"0";"670";"51";"0";"51";"619";"209730";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Asgardarchaeota;Heimdallarchaeia;";"0.0";"0";"45";"8";"0";"8";"37";"209773";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Asgardarchaeota;Lokiarchaeia;";"0.0";"0";"527";"34";"0";"34";"493";"209747";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Asgardarchaeota;Odinarchaeia;";"0.0";"0";"95";"8";"0";"8";"87";"209773";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;";"0.0";"0";"7625";"816";"0";"816";"6809";"208965";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Bathyarchaeia;";"0.0";"0";"3641";"302";"0";"302";"3339";"209479";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;";"0.0";"0";"34";"5";"0";"5";"29";"209776";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;Methanomethyliales;";"0.0";"0";"34";"5";"0";"5";"29";"209776";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;Methanomethyliales;Methanomethyliaceae;";"0.0";"0";"34";"5";"0";"5";"29";"209776";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;Methanomethyliales;Methanomethyliaceae;Candidatus Methanomethylicus;";"0.0";"0";"28";"5";"0";"5";"23";"209776";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;";"0.0";"0";"3259";"348";"0";"348";"2911";"209433";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;";"0.0";"0";"170";"15";"0";"15";"155";"209766";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Caldiarchaeaceae;";"0.0";"0";"58";"6";"0";"6";"52";"209775";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Caldiarchaeaceae;Candidatus Caldiarchaeum;";"0.0";"0";"58";"6";"0";"6";"52";"209775";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Geothermarchaeaceae;";"0.0";"0";"66";"2";"0";"2";"64";"209779";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Terrestrial Hot Spring Gp(THSCG);";"0.0";"0";"46";"7";"0";"7";"39";"209774";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Group 1.1c;";"0.0";"0";"233";"6";"0";"6";"227";"209775";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Marine Benthic Group A;";"0.0";"0";"131";"18";"0";"18";"113";"209763";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosocaldales;";"0.0";"0";"37";"8";"0";"8";"29";"209773";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosocaldales;Nitrosocaldaceae;";"0.0";"0";"37";"8";"0";"8";"29";"209773";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosocaldales;Nitrosocaldaceae;Candidatus Nitrosocaldus;";"0.0";"0";"18";"8";"0";"8";"10";"209773";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosocaldales;Nitrosocaldaceae;uncultured;";"0.0";"0";"19";"0";"0";"0";"19";"209781";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;";"0.0";"0";"1831";"270";"0";"270";"1561";"209511";"39061"
"Bac_16S_02";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;";"0.0";"0";"1831";"270";"0";"270";"1561";"209511";"39061"
