"job_name";"taxonomy";"coverage";"specificity";"accessions";"eligible";"match";"mismatch";"nodata";"outgroup_matchable";"outgroup_matched"
"Euk_18S_16";"SILVA (only NR);Unclassified;";"0.0";"0";"0";"0";"0";"0";"0";"414915";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;";"0.0";"0";"20197";"9153";"0";"9153";"11044";"405762";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Aenigmarchaeota;";"0.0";"0";"319";"137";"0";"137";"182";"414778";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Aenigmarchaeota;Aenigmarchaeia;";"0.0";"0";"161";"53";"0";"53";"108";"414862";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;";"0.0";"0";"161";"53";"0";"53";"108";"414862";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;Candidatus Aenigmarchaeum;";"0.0";"0";"16";"8";"0";"8";"8";"414907";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);";"0.0";"0";"155";"83";"0";"83";"72";"414832";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Altiarchaeota;";"0.0";"0";"41";"9";"0";"9";"32";"414906";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;";"0.0";"0";"41";"9";"0";"9";"32";"414906";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;";"0.0";"0";"41";"9";"0";"9";"32";"414906";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;Altiarchaeaceae;";"0.0";"0";"41";"9";"0";"9";"32";"414906";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Altiarchaeota;Altiarchaeia;Altiarchaeales;Altiarchaeaceae;Candidatus Altiarchaeum;";"0.0";"0";"41";"9";"0";"9";"32";"414906";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Asgardarchaeota;";"0.0";"0";"670";"387";"0";"387";"283";"414528";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Asgardarchaeota;Heimdallarchaeia;";"0.0";"0";"45";"35";"0";"35";"10";"414880";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Asgardarchaeota;Lokiarchaeia;";"0.0";"0";"527";"303";"0";"303";"224";"414612";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Asgardarchaeota;Odinarchaeia;";"0.0";"0";"95";"47";"0";"47";"48";"414868";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;";"0.0";"0";"7625";"2720";"0";"2720";"4905";"412195";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Bathyarchaeia;";"0.0";"0";"3641";"835";"0";"835";"2806";"414080";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;";"0.0";"0";"34";"11";"0";"11";"23";"414904";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;Methanomethyliales;";"0.0";"0";"34";"11";"0";"11";"23";"414904";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;Methanomethyliales;Methanomethyliaceae;";"0.0";"0";"34";"11";"0";"11";"23";"414904";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Methanomethylicia;Methanomethyliales;Methanomethyliaceae;Candidatus Methanomethylicus;";"0.0";"0";"28";"7";"0";"7";"21";"414908";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;";"0.0";"0";"3259";"1396";"0";"1396";"1863";"413519";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;";"0.0";"0";"170";"91";"0";"91";"79";"414824";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Caldiarchaeaceae;";"0.0";"0";"58";"31";"0";"31";"27";"414884";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Caldiarchaeaceae;Candidatus Caldiarchaeum;";"0.0";"0";"58";"31";"0";"31";"27";"414884";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Geothermarchaeaceae;";"0.0";"0";"66";"27";"0";"27";"39";"414888";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Caldiarchaeales;Terrestrial Hot Spring Gp(THSCG);";"0.0";"0";"46";"33";"0";"33";"13";"414882";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Group 1.1c;";"0.0";"0";"233";"74";"0";"74";"159";"414841";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Marine Benthic Group A;";"0.0";"0";"131";"52";"0";"52";"79";"414863";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosocaldales;";"0.0";"0";"37";"21";"0";"21";"16";"414894";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosocaldales;Nitrosocaldaceae;";"0.0";"0";"37";"21";"0";"21";"16";"414894";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosocaldales;Nitrosocaldaceae;Candidatus Nitrosocaldus;";"0.0";"0";"18";"14";"0";"14";"4";"414901";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosocaldales;Nitrosocaldaceae;uncultured;";"0.0";"0";"19";"7";"0";"7";"12";"414908";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;";"0.0";"0";"1831";"785";"0";"785";"1046";"414130";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;";"0.0";"0";"1831";"785";"0";"785";"1046";"414130";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopelagicus;";"0.0";"0";"51";"26";"0";"26";"25";"414889";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus;";"0.0";"0";"717";"367";"0";"367";"350";"414548";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosotenuis;";"0.0";"0";"34";"13";"0";"13";"21";"414902";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Cenarchaeum;";"0.0";"0";"27";"18";"0";"18";"9";"414897";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Nitrosarchaeum;";"0.0";"0";"63";"33";"0";"33";"30";"414882";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;";"0.0";"0";"603";"283";"0";"283";"320";"414632";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;";"0.0";"0";"603";"283";"0";"283";"320";"414632";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrocosmicus;";"0.0";"0";"49";"29";"0";"29";"20";"414886";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera;";"0.0";"0";"233";"144";"0";"144";"89";"414771";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosotaleales;";"0.0";"0";"141";"46";"0";"46";"95";"414869";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosotaleales;Nitrosotaleaceae;";"0.0";"0";"141";"46";"0";"46";"95";"414869";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;Nitrosotaleales;Nitrosotaleaceae;Candidatus Nitrosotalea;";"0.0";"0";"17";"3";"0";"3";"14";"414912";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;SCGC AB-179-E04;";"0.0";"0";"57";"35";"0";"35";"22";"414880";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Nitrososphaeria;uncultured;";"0.0";"0";"56";"9";"0";"9";"47";"414906";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;";"0.0";"0";"691";"478";"0";"478";"213";"414437";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;";"0.0";"0";"219";"110";"0";"110";"109";"414805";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;";"0.0";"0";"71";"37";"0";"37";"34";"414878";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Acidilobus;";"0.0";"0";"10";"8";"0";"8";"2";"414907";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Aeropyrum;";"0.0";"0";"27";"6";"0";"6";"21";"414909";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Caldisphaera;";"0.0";"0";"13";"13";"0";"13";"0";"414902";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Stetteria;";"0.0";"0";"4";"2";"0";"2";"2";"414913";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Thermodiscus;";"0.0";"0";"12";"7";"0";"7";"5";"414908";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;";"0.0";"0";"44";"26";"0";"26";"18";"414889";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;";"0.0";"0";"9";"8";"0";"8";"1";"414907";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Staphylothermus;";"0.0";"0";"16";"8";"0";"8";"8";"414907";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Sulfophobococcus;";"0.0";"0";"1";"1";"0";"1";"0";"414914";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermogladius;";"0.0";"0";"4";"4";"0";"4";"0";"414911";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera;";"0.0";"0";"9";"5";"0";"5";"4";"414910";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;uncultured;";"0.0";"0";"3";"0";"0";"0";"3";"414915";"6"
"Euk_18S_16";"SILVA (only NR);Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Ignicoccaceae;";"0.0";"0";"11";"6";"0";"6";"5";"414909";"6"
