"","Primer_comb_ID","superkingdom","phylum","class","order","family","genus","species","Taxonomic_ID"
"1","Euk_18S_01",2,17,51,173,423,1051,2816,2816
"2","Euk_18S_02",0,24,116,510,1982,5800,11451,11455
"3","Euk_18S_03",0,6,32,260,1626,6294,15538,15558
"4","Euk_18S_04",0,0,0,0,0,0,0,0
"5","Euk_18S_05",0,0,1,7,33,82,262,263
"6","Euk_18S_06",0,0,0,0,2,7,19,19
"7","Euk_18S_07",0,2,6,30,209,1126,2382,2383
"8","Euk_18S_08",0,0,0,1,5,43,89,90
"9","Euk_18S_09",0,1,3,5,21,35,93,100
"10","Euk_18S_10",0,0,2,3,16,67,190,190
"11","Euk_18S_11",0,0,0,1,30,81,202,210
"12","Euk_18S_12",0,1,3,8,104,422,848,850
"13","Euk_18S_13",0,0,3,18,232,872,2071,2075
"14","Euk_18S_14",0,0,0,0,0,0,0,1
"15","Euk_18S_15",0,0,0,0,0,2,2,2
"16","Euk_18S_16",0,1,0,4,4,15,45,46
"17","Euk_18S_17",0,0,0,0,20,142,378,378
"18","Euk_18S_18",0,0,0,0,0,0,12,14
"19","Euk_18S_19",0,0,0,0,0,2,6,7
"20","Euk_18S_20",0,0,0,0,0,1,3,3
"21","Euk_18S_21",0,0,0,3,21,55,128,129
