"","taxId","gi","species","superkingdom","kingdom","phylum","class","order","family","genus","accession","product_length","mismatch_forward","mismatch_reverse","forward_start","forward_stop","reverse_start","reverse_stop","product_start","product_stop"
"1","1000415","1768047645","Amelanchier ovalis","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Amelanchier","MN215988.1",482,0,0,2717,2736,3198,3178,2717,3198
"2","1000427","1768047694","Sorbus chamaemespilus","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Sorbus","MN216006.1",481,0,0,2756,2775,3236,3216,2756,3236
"3","1028355","1721134005","Ligustrum gracile","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","LR130572.1",489,0,0,2642,2661,3130,3110,2642,3130
"4","1045496","1702291483","Paris caobangensis","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Liliales","Melanthiaceae","Paris","MN174871.1",500,1,0,2112,2131,2611,2591,2112,2611
"5","106547","1768047634","Malus angustifolia","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Malus","MN215984.1",482,0,0,2716,2735,3197,3177,2716,3197
"6","106549","1768047622","Malus baccata","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Malus","MN215980.1",482,0,0,2724,2743,3205,3185,2724,3205
"7","106557","1768047636","Malus ioensis","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Malus","MN215985.1",483,0,0,2721,2740,3203,3183,2721,3203
"8","106567","1768047656","Malus sieversii","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Malus","MN215992.1",483,0,0,2722,2741,3204,3184,2722,3204
"9","1073819","1536034566","Clerodendrum infortunatum","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lamiaceae","Clerodendrum","MK132891.1",488,0,0,2,21,489,469,2,489
"10","1081051","1721133997","Notelaea venosa","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Oleaceae","Notelaea","LR031510.1",487,0,0,2642,2661,3128,3108,2642,3128
"11","1085342","1721133979","Chionanthus brassii","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Oleaceae","Chionanthus","LR031492.1",489,0,0,2641,2660,3129,3109,2641,3129
"12","1089943","1584765799","Brahea aculeata","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Arecales","Arecaceae","Brahea","MK581022.1",521,1,0,2384,2403,2904,2884,2384,2904
"13","111597","1708599395","Phalaenopsis japonica","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Orchidaceae","Phalaenopsis","MN221419.1",531,2,0,2974,2993,3504,3484,2974,3504
"14","1125365","1721133965","Chionanthus panamensis","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Oleaceae","Chionanthus","LR031478.1",488,0,0,2631,2650,3118,3098,2631,3118
"15","1143213","1768047610","Amelanchier spicata","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Amelanchier","MN215976.1",482,0,0,2743,2762,3224,3204,2743,3224
"16","1143234","1768047616","Eriobotrya deflexa","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Eriobotrya","MN215978.1",485,0,0,2718,2737,3202,3182,2718,3202
"17","1167265","1622463620","Pelargonium odoratissimum","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Geraniales","Geraniaceae","Pelargonium","MK670433.1",519,0,0,2091,2110,2609,2589,2091,2609
"18","1185349","1552063648","Leptadenia pyrotechnica","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Gentianales","Apocynaceae","Leptadenia","MH547496.1",484,0,0,1,16,480,460,1,480
"19","1198090","1622463560","Pelargonium klinghardtense","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Geraniales","Geraniaceae","Pelargonium","MK670373.1",517,0,0,2094,2113,2610,2590,2094,2610
