"","taxId","gi","species","superkingdom","kingdom","phylum","class","order","family","genus","accession","product_length","mismatch_forward","mismatch_reverse","forward_start","forward_stop","reverse_start","reverse_stop","product_start","product_stop"
"1","1000427","1783500296","Sorbus chamaemespilus","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Sorbus","NC_045419.1",184,0,2,58847,58868,59030,59009,58847,59030
"2","100515","1829768341","Asparagus filicinus","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Asparagaceae","Asparagus","NC_046783.1",184,1,0,82887,82908,83070,83049,82887,83070
"3","100537","1554392368","Ficus adenosperma","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Moraceae","Ficus","MH826770.1",184,0,2,5,26,188,167,5,188
"4","100548","1554392676","Ficus dammaropsis","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Moraceae","Ficus","MH826870.1",184,0,2,5,26,188,167,5,188
"5","100554","1554392239","Ficus hombroniana","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Moraceae","Ficus","MH826728.1",184,0,2,5,26,188,167,5,188
"6","100568","1554392959","Ficus pungens","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Moraceae","Ficus","MH826961.1",184,0,2,5,26,188,167,5,188
"7","100569","1808995879","Ficus racemosa","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Moraceae","Ficus","MN102663.1",184,0,2,22,43,205,184,22,205
"8","100582","1554392055","Ficus wassa","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Moraceae","Ficus","MH826669.1",184,0,2,5,26,188,167,5,188
"9","100583","1554392245","Ficus xylosycia","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Moraceae","Ficus","MH826730.1",184,0,2,5,26,188,167,5,188
"10","100813","1804601069","Trisetum spicatum","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Trisetum","MK749387.1",184,2,0,4,25,187,166,4,187
"11","1008917","1800329167","Ilex suaveolens","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Aquifoliales","Aquifoliaceae","Ilex","MN830249.1",184,0,2,57565,57586,57748,57727,57565,57748
"12","1008930","1796390896","Quercus serrata","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Fagaceae","Quercus","MK105458.1",184,0,2,60647,60668,60830,60809,60647,60830
"13","1008935","1760231536","Micromeles folgneri","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Micromeles","MK161058.1",184,0,2,58835,58856,59018,58997,58835,59018
"14","1008956","1827513771","Bertiera longithyrsa","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Gentianales","Rubiaceae","Bertiera","KY348833.1",184,0,2,56277,56298,56460,56439,56277,56460
"15","1009335","1767124337","Blastus cochinchinensis","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Melastomataceae","Blastus","MK994909.1",184,0,2,56317,56338,56500,56479,56317,56500
"16","1009479","1812102513","Homalium cochinchinense","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Salicaceae","Homalium","NC_045919.1",184,1,0,55977,55998,56160,56139,55977,56160
"17","1009492","1767124677","Memecylon ligustrifolium","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Melastomataceae","Memecylon","MK994913.1",184,0,2,57084,57105,57267,57246,57084,57267
"18","101015","1782796632","Fragaria virginiana","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Fragaria","MN601496.1",184,0,2,31,52,214,193,31,214
"19","101609","1511252321","Croomia pauciflora","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Pandanales","Stemonaceae","Croomia","NC_039674.1",184,0,2,54435,54456,54618,54597,54435,54618
