"","taxId","gi","species","superkingdom","kingdom","phylum","class","order","family","genus","accession","product_length","mismatch_forward","mismatch_reverse","forward_start","forward_stop","reverse_start","reverse_stop","product_start","product_stop"
"1","1036996","1818371958","Metopograpsus frontalis","Eukaryota","Metazoa","Arthropoda","Malacostraca","Decapoda","Grapsidae","Metopograpsus","MN635595.1",365,2,0,310,335,674,649,310,674
"2","104777","1612945040","Brachionus calyciflorus","Eukaryota","Metazoa","Rotifera","Monogononta","Ploima","Brachionidae","Brachionus","MK344674.1",368,3,0,342,367,709,684,342,709
"3","1072365","1815653493","Xylosandrus amputatus","Eukaryota","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae","Xylosandrus","MN620059.1",365,1,0,306,331,670,645,306,670
"4","1086167","1815521332","Ambulyx substrigilis","Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Sphingidae","Ambulyx","MK804151.1",365,4,0,1830,1855,2194,2169,1830,2194
"5","1086254","1815521416","Compsulyx cochereaui","Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Sphingidae","Compsulyx","MK804157.1",365,3,0,1831,1856,2195,2170,1831,2195
"6","1088318","1815521514","Trogolegnum pseudambulyx","Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Sphingidae","Trogolegnum","MK804164.1",365,4,0,1823,1848,2187,2162,1823,2187
"7","111507","1712730305","Acanthodactylus boskianus","Eukaryota","Metazoa","Chordata","Lepidosauria","Squamata","Lacertidae","Acanthodactylus","MN015076.1",365,3,0,367,392,731,706,367,731
"8","1162362","1443017945","Sarcophaga croatica","Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Sarcophagidae","Sarcophaga","MH118184.1",365,0,3,319,344,683,658,319,683
"9","1162364","1443017933","Sarcophaga lehmanni","Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Sarcophagidae","Sarcophaga","MH118178.1",365,0,3,319,344,683,658,319,683
"10","1173213","1206375795","Typhlatya consobrina","Eukaryota","Metazoa","Arthropoda","Malacostraca","Decapoda","Atyidae","Typhlatya","KX844717.1",365,3,0,425,450,789,764,425,789
"11","1212599","1624518462","Pityeja histrionaria","Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Geometridae","Pityeja","MK739250.1",365,4,0,321,346,685,660,321,685
"12","1215174","1740144558","Lampito mauritii","Eukaryota","Metazoa","Annelida","Clitellata","Haplotaxida","Megascolecidae","Lampito","MK574020.1",365,0,2,345,370,709,684,345,709
"13","1226668","1679378394","Scaptomyza inflatus","Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Scaptomyza","MK277101.1",365,2,0,320,345,684,659,320,684
"14","1226670","1679378203","Scaptomyza reducta","Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Scaptomyza","MK277004.1",365,1,0,320,345,684,659,320,684
"15","1226671","1679378398","Scaptomyza nasalis","Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Scaptomyza","MK277103.1",365,2,0,320,345,684,659,320,684
"16","1235672","1809284454","Matuta planipes","Eukaryota","Metazoa","Arthropoda","Malacostraca","Decapoda","Matutidae","Matuta","MK281334.1",365,3,0,361,386,725,700,361,725
"17","128967","1443017959","Sarcophaga argyrostoma","Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Sarcophagidae","Sarcophaga","MH118191.1",365,0,4,313,338,677,652,313,677
"18","128968","1561324595","Sarcophaga ruficornis","Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Sarcophagidae","Sarcophaga","MH765507.1",365,0,1,322,347,686,661,322,686
"19","130825","1820515868","Ochotona curzoniae","Eukaryota","Metazoa","Chordata","Mammalia","Lagomorpha","Ochotonidae","Ochotona","MN547430.1",365,4,0,353,378,717,692,353,717
"20","13123","1608699778","Lymantria dispar","Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Lymantriidae","Lymantria","MK041886.1",365,0,4,281,306,645,620,281,645
"21","1334239","1632149905","Aegla georginae","Eukaryota","Metazoa","Arthropoda","Malacostraca","Decapoda","Aeglidae","Aegla","MH998640.1",365,0,4,74,99,438,413,74,438
"22","1334240","1632149909","Aegla ludwigi","Eukaryota","Metazoa","Arthropoda","Malacostraca","Decapoda","Aeglidae","Aegla","MH998642.1",365,0,2,74,99,438,413,74,438
"23","1380828","1780383389","Hydrophylita emporos","Eukaryota","Metazoa","Arthropoda","Insecta","Hymenoptera","Trichogrammatidae","Hydrophylita","MN266228.1",359,2,0,91,116,449,424,91,449
"24","1384933","1690528687","Monophadnoides rubi","Eukaryota","Metazoa","Arthropoda","Insecta","Hymenoptera","Tenthredinidae","Monophadnoides","MK561875.1",365,4,0,329,354,693,668,329,693
"25","1414657","1783425238","Striatobalanus amaryllis","Eukaryota","Metazoa","Arthropoda","Hexanauplia","Sessilia","Archaeobalanidae","Striatobalanus","MK947214.1",365,1,0,345,370,709,684,345,709
"26","1492280","1819717725","Polyarthra vulgaris","Eukaryota","Metazoa","Rotifera","Monogononta","Ploima","Synchaetidae","Polyarthra","MT159574.1",368,4,0,345,370,712,687,345,712
"27","161013","1657782804","Thrips palmi","Eukaryota","Metazoa","Arthropoda","Insecta","Thysanoptera","Thripidae","Thrips","MK333270.1",362,3,0,320,345,681,656,320,681
"28","163899","1805101304","Scirtothrips dorsalis","Eukaryota","Metazoa","Arthropoda","Insecta","Thysanoptera","Thripidae","Scirtothrips","MN707970.1",362,4,0,339,364,700,675,339,700
"29","168794","1327835814","Staurocladia wellingtoni","Eukaryota","Metazoa","Cnidaria","Hydrozoa","Anthoathecata","Cladonematidae","Staurocladia","MF000486.1",365,0,4,326,351,690,665,326,690
"30","1732103","1698162719","Enhydrosoma gariene","Eukaryota","Metazoa","Arthropoda","Hexanauplia","Harpacticoida","Cletodidae","Enhydrosoma","MH976568.1",365,4,0,344,369,708,683,344,708
"31","1735648","1593548760","Oxysarcodexia terminalis","Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Sarcophagidae","Oxysarcodexia","NC_041071.1",365,0,3,1774,1799,2138,2113,1774,2138
"32","1777583","1202104305","Mahanarva integra","Eukaryota","Metazoa","Arthropoda","Insecta","Hemiptera","Cercopidae","Mahanarva","KX239950.1",365,0,4,82,107,446,421,82,446
"33","1777588","1202104309","Mahanarva rubripennis","Eukaryota","Metazoa","Arthropoda","Insecta","Hemiptera","Cercopidae","Mahanarva","KX239952.1",365,0,4,82,107,446,421,82,446
"34","1781149","1760863107","Koreoleptoxis amurensis","Eukaryota","Metazoa","Mollusca","Gastropoda","Unassigned","Pleuroceridae","Koreoleptoxis","MK251706.1",365,0,4,16,41,380,355,16,380
"35","1806730","1443017923","Sarcophaga baranoffi","Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Sarcophagidae","Sarcophaga","MH118173.1",365,0,3,319,344,683,658,319,683
"36","1827033","1812618742","Platystoma mandschuricum","Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Platystomatidae","Platystoma","MN158195.1",365,3,0,365,340,1,26,1,365
"37","184770","1380944015","Anopheles peryassui","Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Culicidae","Anopheles","MF381661.1",365,0,2,1784,1809,2148,2123,1784,2148
"38","1897758","1215209831","Cochliomyia minima","Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Calliphoridae","Cochliomyia","MF097409.1",365,0,3,244,269,608,583,244,608
"39","1897759","1215209659","Cochliomyia aldrichi","Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Calliphoridae","Cochliomyia","MF097323.1",365,0,3,244,269,608,583,244,608
"40","1911087","1801971529","Euchrysops subpallida","Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Euchrysops","MN053300.1",365,3,0,273,298,637,612,273,637
"41","1911088","1801971521","Euchrysops malathana","Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Euchrysops","MN053296.1",365,3,0,275,300,639,614,275,639
"42","1928443","1624685506","Zeuzera multistrigata","Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Cossidae","Zeuzera","MF491642.1",365,3,0,1814,1839,2178,2153,1814,2178
