"","taxId","gi","species","superkingdom","kingdom","phylum","class","order","family","genus","accession","product_length","mismatch_forward","mismatch_reverse","forward_start","forward_stop","reverse_start","reverse_stop","product_start","product_stop"
"1","1002741","381286237","Apus caffer","Eukaryota","Metazoa","Chordata","Aves","Apodiformes","Apodidae","Apus","JQ520030.1",175,0,0,690,709,864,846,690,864
"2","1002875","1511252022","Prodotiscus insignis","Eukaryota","Metazoa","Chordata","Aves","Piciformes","Indicatoridae","Prodotiscus","NC_039892.1",177,0,0,729,748,905,887,729,905
"3","1002879","1595961206","Sarothrura rufa","Eukaryota","Metazoa","Chordata","Aves","Gruiformes","Rallidae","Sarothrura","MK434263.1",178,0,0,755,774,932,914,755,932
"4","1003843","1229032638","Halcyon smyrnensis","Eukaryota","Metazoa","Chordata","Aves","Coraciiformes","Alcedinidae","Halcyon","KY940559.1",175,0,0,770,789,944,926,770,944
"5","100819","158187477","Falco tinnunculus","Eukaryota","Metazoa","Chordata","Aves","Falconiformes","Falconidae","Falco","EU196361.1",180,1,0,771,790,950,932,771,950
"6","100826","158935687","Scolopax rusticola","Eukaryota","Metazoa","Chordata","Aves","Charadriiformes","Scolopacidae","Scolopax","AM902519.1",180,1,0,471,490,650,632,471,650
"7","100828","661903633","Tachybaptus ruficollis","Eukaryota","Metazoa","Chordata","Aves","Podicipediformes","Podicipedidae","Tachybaptus","KJ913674.1",176,0,0,768,787,943,925,768,943
"8","100830","158935688","Tetrao urogallus","Eukaryota","Metazoa","Chordata","Aves","Galliformes","Phasianidae","Tetrao","AM902520.1",183,0,0,450,469,632,614,450,632
"9","100858","1777434271","Threskiornis aethiopicus","Eukaryota","Metazoa","Chordata","Aves","Pelecaniformes","Threskiornithidae","Threskiornis","MN196528.1",177,0,0,2150,2169,2326,2308,2150,2326
"10","100859","700274645","Vanellus vanellus","Eukaryota","Metazoa","Chordata","Aves","Charadriiformes","Charadriidae","Vanellus","KM577158.1",176,1,0,772,791,947,929,772,947
"11","101697","1134019049","Chelonoidis denticulatus","Eukaryota","Metazoa","Chordata","Unassigned","Testudines","Testudinidae","Chelonoidis","LT599485.1",180,2,1,826,845,1005,987,826,1005
"12","103375","1798173825","Aegolius funereus","Eukaryota","Metazoa","Chordata","Aves","Strigiformes","Strigidae","Aegolius","MN122880.1",181,1,0,780,799,960,942,780,960
"13","103947","7339784","Crotophaga ani","Eukaryota","Metazoa","Chordata","Aves","Cuculiformes","Crotophagidae","Crotophaga","AF173584.1",175,0,0,698,717,872,854,698,872
"14","103952","303305537","Chalcites lucidus","Eukaryota","Metazoa","Chordata","Aves","Cuculiformes","Cuculidae","Chalcites","HM159160.1",175,0,0,639,658,813,795,639,813
"15","103959","37359597","Musophaga violacea","Eukaryota","Metazoa","Chordata","Aves","Musophagiformes","Musophagidae","Musophaga","AY274020.1",178,0,0,733,752,910,892,733,910
"16","1041116","1678645069","Myuchelys latisternum","Eukaryota","Metazoa","Chordata","Unassigned","Testudines","Chelidae","Myuchelys","NC_042475.1",179,2,1,760,779,938,920,760,938
"17","1041117","1678645055","Myuchelys georgesi","Eukaryota","Metazoa","Chordata","Unassigned","Testudines","Chelidae","Myuchelys","NC_042474.1",179,2,1,761,780,939,921,761,939
"18","1041118","1609434334","Myuchelys purvisi","Eukaryota","Metazoa","Chordata","Unassigned","Testudines","Chelidae","Myuchelys","KY883378.1",180,2,1,758,777,937,919,758,937
"19","1053996","1246431282","Strix varia","Eukaryota","Metazoa","Chordata","Aves","Strigiformes","Strigidae","Strix","MF431745.1",181,0,0,786,805,966,948,786,966
"20","106731","1134019068","Chelonoidis vicina","Eukaryota","Metazoa","Chordata","Unassigned","Testudines","Testudinidae","Chelonoidis","LT599486.1",180,2,1,614,633,793,775,614,793
"21","106894","1678087307","Teira dugesii","Eukaryota","Metazoa","Chordata","Lepidosauria","Squamata","Lacertidae","Teira","MN015246.1",172,2,1,689,708,860,842,689,860
"22","107026","37725781","Mergellus albellus","Eukaryota","Metazoa","Chordata","Aves","Anseriformes","Anatidae","Mergellus","AY164516.1",176,0,0,724,743,899,881,724,899
"23","1071652","944543517","Paradoxornis fulvifrons","Eukaryota","Metazoa","Chordata","Aves","Passeriformes","Muscicapidae","Paradoxornis","KT598466.1",176,1,1,776,795,951,933,776,951
"24","107203","1642521191","Culicicapa ceylonensis","Eukaryota","Metazoa","Chordata","Aves","Passeriformes","Stenostiridae","Culicicapa","NC_042191.1",176,0,0,767,786,942,924,767,942
"25","107226","23297918","Platysteira cyanea","Eukaryota","Metazoa","Chordata","Aves","Passeriformes","Unassigned","Platysteira","AY136583.1",176,0,0,744,763,919,901,744,919
"26","107377","190411512","Gallinago gallinago","Eukaryota","Metazoa","Chordata","Aves","Charadriiformes","Scolopacidae","Gallinago","EF373082.2",180,1,0,374,393,553,535,374,553
