"","taxId","gi","species","superkingdom","phylum","class","order","family","genus","kingdom","accession","product_length","mismatch_forward","mismatch_reverse","forward_start","forward_stop","reverse_start","reverse_stop","product_start","product_stop"
"1","1005362","1804576711","Ichthyobodo salmonis","Eukaryota","Euglenozoa","Kinetoplastea","Unassigned","Ichthyobodonidae","Ichthyobodo","Unassigned","MN259577.1",437,0,1,1304,1321,1740,1723,1304,1740
"2","1174592","1817977172","Cadlinella subornatissima","Eukaryota","Mollusca","Gastropoda","Nudibranchia","Chromodorididae","Cadlinella","Metazoa","MN224106.1",426,1,0,1254,1271,1679,1662,1254,1679
"3","1188126","1317843002","Hydropsyche orris","Eukaryota","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","Metazoa","MG669128.1",414,1,0,2475,2492,2888,2871,2475,2888
"4","1188153","1727605577","Limnephilus hyalinus","Eukaryota","Arthropoda","Insecta","Trichoptera","Limnephilidae","Limnephilus","Metazoa","MK077680.1",413,1,0,2495,2512,2907,2890,2495,2907
"5","1227378","1811401763","Starmerella syriaca","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Unassigned","Starmerella","Fungi","NG_067631.1",366,1,0,1107,1124,1472,1455,1107,1472
"6","1380063","1387638929","Marteilia cochillia","Eukaryota","Endomyxa","Ascetosporea","Paramyxida","Marteiliidae","Marteilia","Unassigned","MH304633.1",395,2,0,1247,1264,1641,1624,1247,1641
"7","1504291","1594610653","Leucocytozoon sp.","Eukaryota","Apicomplexa","Aconoidasida","Haemosporida","Leucocytozoidae","Leucocytozoon","Unassigned","MK650858.1",565,1,0,1328,1345,1892,1875,1328,1892
"8","156852","1561368765","Nephila senegalensis","Eukaryota","Arthropoda","Arachnida","Araneae","Nephilidae","Nephila","Metazoa","MK426140.1",383,2,0,657,674,1039,1022,657,1039
"9","1683205","966204150","Euplotes sp. 2 bOmb1","Eukaryota","Ciliophora","Spirotrichea","Euplotida","Euplotidae","Euplotes","Unassigned","LN870038.1",429,1,0,1409,1426,1837,1820,1409,1837
"10","1706394","1594610575","Leucocytozoon californicus","Eukaryota","Apicomplexa","Aconoidasida","Haemosporida","Leucocytozoidae","Leucocytozoon","Unassigned","MK650780.1",562,1,0,1271,1288,1832,1815,1271,1832
"11","176275","1815651793","Beauveria bassiana","Eukaryota","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Beauveria","Fungi","MN494090.1",375,1,0,1262,1279,1636,1619,1262,1636
"12","1767225","962094839","Euscyrtus bivittatus","Eukaryota","Arthropoda","Insecta","Orthoptera","Gryllidae","Euscyrtus","Metazoa","KR904155.1",388,1,0,132,149,519,502,132,519
"13","1767359","962094748","Lernecella minuta","Eukaryota","Arthropoda","Insecta","Orthoptera","Phalangopsidae","Lernecella","Metazoa","KR904064.1",388,1,0,132,149,519,502,132,519
"14","1767360","962094724","Lernecella sp. n. GDE","Eukaryota","Arthropoda","Insecta","Orthoptera","Phalangopsidae","Lernecella","Metazoa","KR904040.1",388,1,0,132,149,519,502,132,519
"15","1767373","962094830","Microlandreva sp. n. May","Eukaryota","Arthropoda","Insecta","Orthoptera","Gryllidae","Microlandreva","Metazoa","KR904146.1",389,1,0,132,149,520,503,132,520
"16","1767401","962094861","Orthoxiphus sp. Com","Eukaryota","Arthropoda","Insecta","Orthoptera","Gryllidae","Orthoxiphus","Metazoa","KR904177.1",389,1,0,132,149,520,503,132,520
"17","1767409","962094714","Parendacustes makassari","Eukaryota","Arthropoda","Insecta","Orthoptera","Phalangopsidae","Parendacustes","Metazoa","KR904030.1",388,1,0,132,149,519,502,132,519
"18","1767429","962094824","Proturana subapterus","Eukaryota","Arthropoda","Insecta","Orthoptera","Gryllidae","Proturana","Metazoa","KR904140.1",388,1,0,132,149,519,502,132,519
"19","1767984","962094822","Euscyrtus aff. bipunctatus ICCM-2015","Eukaryota","Arthropoda","Insecta","Orthoptera","Gryllidae","Euscyrtus","Metazoa","KR904138.1",388,1,0,132,149,519,502,132,519
"20","1902883","1160550647","Sigmodota contorta","Eukaryota","Echinodermata","Holothuroidea","Apodida","Chiridotidae","Sigmodota","Metazoa","KX856863.1",381,1,0,1240,1257,1620,1603,1240,1620
"21","1912980","1111589181","Nematocida ciargi","Eukaryota","Microsporidia","Unassigned","Unassigned","Unassigned","Nematocida","Fungi","KX360152.1",320,2,0,872,889,1191,1174,872,1191
"22","1912983","1111589176","Nematocida minor","Eukaryota","Microsporidia","Unassigned","Unassigned","Unassigned","Nematocida","Fungi","KX360147.1",330,2,0,908,925,1237,1220,908,1237
"23","1913635","1108485814","Rhizophagus sp. (in: Fungi)","Eukaryota","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","Fungi","KY234474.1",379,1,0,1099,1116,1477,1460,1099,1477
"24","1928706","1815405437","Sporobolomyces sp.","Eukaryota","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Sporobolomyces","Fungi","MN180193.1",378,1,0,1215,1232,1592,1575,1215,1592
"25","1963845","1151010174","Apicomplexa sp. X STN-2017","Eukaryota","Apicomplexa","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","KX774501.1",381,1,0,1254,1271,1634,1617,1254,1634
"26","1982806","1189353358","Draconarius pseudobrunneus","Eukaryota","Arthropoda","Arachnida","Araneae","Amaurobiidae","Draconarius","Metazoa","KY791270.1",378,1,0,1119,1136,1496,1479,1119,1496
"27","1985903","1189931910","Holomastigotoides sp.","Eukaryota","Parabasalia","Unassigned","Spirotrichonymphida","Holomastigotoididae","Holomastigotoides","Unassigned","MF065855.1",374,1,0,1076,1093,1449,1432,1076,1449
"28","1986218","1190354028","Dactylospongia sp. DAS.2","Eukaryota","Porifera","Demospongiae","Dictyoceratida","Thorectidae","Dactylospongia","Metazoa","KX894466.1",376,1,0,1268,1285,1643,1626,1268,1643
"29","2023643","1226859292","Euplotes estuarinus","Eukaryota","Ciliophora","Spirotrichea","Euplotida","Euplotidae","Euplotes","Unassigned","MF445655.1",431,1,0,1241,1258,1671,1654,1241,1671
"30","2026243","1333994389","Glomeromycotina sp.","Eukaryota","Mucoromycota","Unassigned","Unassigned","Unassigned","Unassigned","Fungi","MG829435.1",380,1,0,1109,1126,1488,1471,1109,1488
"31","2033607","1594610319","Plasmodium matutinum","Eukaryota","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Unassigned","MK650524.1",578,1,0,1370,1387,1947,1930,1370,1947
"32","2049535","1817977171","Adalaria slavi","Eukaryota","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Adalaria","Metazoa","MN224105.1",426,1,0,1252,1269,1677,1660,1252,1677
"33","2049547","1817977175","Onchimira cavifera","Eukaryota","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Onchimira","Metazoa","MN224109.1",426,1,0,1235,1252,1660,1643,1235,1660
"34","2056667","1300656915","Echinocephalus sp. 1 AMAEG-2017","Eukaryota","Nematoda","Chromadorea","Rhabditida","Gnathostomatidae","Echinocephalus","Metazoa","KY911549.1",374,1,0,1218,1235,1591,1574,1218,1591
