"","taxId","gi","species","superkingdom","kingdom","phylum","class","order","family","genus","accession","product_length","mismatch_forward","mismatch_reverse","forward_start","forward_stop","reverse_start","reverse_stop","product_start","product_stop"
"1","1000415","1768047645","Amelanchier ovalis","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Amelanchier","MN215988.1",482,0,0,2717,2736,3198,3178,2717,3198
"2","1000427","1768047694","Sorbus chamaemespilus","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Sorbus","MN216006.1",481,0,0,2756,2775,3236,3216,2756,3236
"3","1008951","1825537610","Trailliaedoxa gracilis","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Gentianales","Rubiaceae","Trailliaedoxa","MK607947.1",480,0,1,2194,2213,2673,2653,2194,2673
"4","1008956","1825537558","Bertiera longithyrsa","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Gentianales","Rubiaceae","Bertiera","MK607895.1",480,0,1,2203,2222,2682,2662,2203,2682
"5","101617","1237077684","Musella lasiocarpa","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Zingiberales","Musaceae","Musella","KY214927.1",481,1,0,610,629,1090,1070,610,1090
"6","101709","1237077778","Heliconia irrasa","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Zingiberales","Heliconiaceae","Heliconia","KY215021.1",501,2,0,550,569,1050,1030,550,1050
"7","101743","948275602","Barleria lupulina","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Acanthaceae","Barleria","KT004473.1",510,0,0,1,20,510,490,1,510
"8","1028355","1721134005","Ligustrum gracile","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Oleaceae","Ligustrum","LR130572.1",489,0,0,2642,2661,3130,3110,2642,3130
"9","103349","1445134903","Vitis rotundifolia","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Vitales","Vitaceae","Vitis","MG200158.1",481,0,0,386,405,866,846,386,866
"10","103745","1465458798","Chromolaena odorata","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Chromolaena","MH813219.1",447,0,0,1,20,442,427,1,442
"11","1040644","960457441","Aquilaria hirta","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Malvales","Thymelaeaceae","Aquilaria","KU244112.1",497,0,0,1,20,497,477,1,497
"12","1040645","960457456","Aquilaria subintegra","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Malvales","Thymelaeaceae","Aquilaria","KU244127.1",496,0,0,1,20,496,476,1,496
"13","1043413","343405004","Heterosmilax gaudichaudiana","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Liliales","Smilacaceae","Heterosmilax","JF976609.1",511,0,0,262,281,772,752,262,772
"14","1043414","345424755","Heterosmilax longiflora","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Liliales","Smilacaceae","Heterosmilax","JF461344.1",511,0,0,262,281,772,752,262,772
"15","1043415","343405014","Heterosmilax yunnanensis","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Liliales","Smilacaceae","Heterosmilax","JF976619.1",509,0,0,262,281,770,750,262,770
"16","1043466","1390666460","Gynochthodes hainanensis","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Gentianales","Rubiaceae","Gynochthodes","MF375768.1",501,0,5,2,21,502,482,2,502
"17","1045128","1109399669","Smilax aberrans","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Liliales","Smilacaceae","Smilax","KX394634.1",513,0,0,264,283,776,756,264,776
"18","1045129","343407034","Smilax arisanensis","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Liliales","Smilacaceae","Smilax","JF978639.1",511,0,0,257,276,767,747,257,767
"19","1045130","343407040","Smilax aspericaulis","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Liliales","Smilacaceae","Smilax","JF978645.1",508,0,0,257,276,764,744,257,764
