"","taxId","gi","species","superkingdom","kingdom","phylum","class","order","family","genus","accession","product_length","mismatch_forward","mismatch_reverse","forward_start","forward_stop","reverse_start","reverse_stop","product_start","product_stop"
"1","1112434","452091203","Meta manchurica","Eukaryota","Metazoa","Arthropoda","Arachnida","Araneae","Tetragnathidae","Meta","JN816721.1",597,0,0,1,23,596,572,1,596
"2","1112494","452091194","Tetragnatha praedonia","Eukaryota","Metazoa","Arthropoda","Arachnida","Araneae","Tetragnathidae","Tetragnatha","JN816712.1",600,0,0,1,21,597,573,1,597
"3","116968","46430993","Zoogonoides viviparus","Eukaryota","Metazoa","Platyhelminthes","Trematoda","Plagiorchiida","Zoogonidae","Zoogonoides","AY525634.1",607,0,0,11,34,617,593,11,617
"4","1187971","1591624023","Microvelia americana","Eukaryota","Metazoa","Arthropoda","Insecta","Hemiptera","Veliidae","Microvelia","MH591931.1",607,0,0,11,34,617,593,11,617
"5","1197313","1485549020","Echinochasmus japonicus","Eukaryota","Metazoa","Platyhelminthes","Trematoda","Plagiorchiida","Echinochasmidae","Echinochasmus","LT904764.1",610,0,0,12,35,621,597,12,621
"6","1197314","1485549018","Notocotylus intestinalis","Eukaryota","Metazoa","Platyhelminthes","Trematoda","Plagiorchiida","Notocotylidae","Notocotylus","LT904762.1",600,0,0,12,35,611,587,12,611
"7","1197315","1485549019","Sphaeridiotrema monorchis","Eukaryota","Metazoa","Platyhelminthes","Trematoda","Plagiorchiida","Psilostomidae","Sphaeridiotrema","LT904763.1",610,0,0,12,35,621,597,12,621
"8","1238989","407943266","Mesocoelium lanfrediae","Eukaryota","Metazoa","Platyhelminthes","Trematoda","Plagiorchiida","Brachycoeliidae","Mesocoelium","JQ886404.1",610,0,0,24,47,633,609,24,633
"9","1354361","1489097075","Cardiocephaloides medioconiger","Eukaryota","Metazoa","Platyhelminthes","Trematoda","Diplostomida","Strigeidae","Cardiocephaloides","MH521247.1",610,0,0,739,762,1348,1324,739,1348
"10","135513","1028916009","Schyzocotyle acheilognathi","Eukaryota","Metazoa","Platyhelminthes","Cestoda","Bothriocephalidea","Bothriocephalidae","Schyzocotyle","KX060603.1",617,0,0,1220,1243,1836,1812,1220,1836
"11","13632","836552875","Lucilia sericata","Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Calliphoridae","Lucilia","KR133393.1",596,1,0,10,33,605,581,10,605
"12","138592","32264720","Apharyngostrigea cornu","Eukaryota","Metazoa","Platyhelminthes","Trematoda","Diplostomida","Strigeidae","Apharyngostrigea","AY245756.1",610,0,0,1,23,609,585,1,609
"13","147828","1190465664","Opisthorchis felineus","Eukaryota","Metazoa","Platyhelminthes","Trematoda","Opisthorchiida","Opisthorchiidae","Opisthorchis","MF077357.1",610,0,0,11,34,620,596,11,620
"14","1480154","1798184397","Marchantia polymorpha","Eukaryota","Viridiplantae","Streptophyta","Marchantiopsida","Marchantiales","Marchantiaceae","Marchantia","AP020268.1",599,0,2,6712,6689,6114,6138,6114,6712
"15","1524981","667755505","Diascorhynchus serpens","Eukaryota","Metazoa","Platyhelminthes","Rhabditophora","Rhabdocoela","Diascorhynchidae","Diascorhynchus","KJ887439.1",593,0,0,1,23,592,568,1,592
"16","1524983","667755522","Gyratrix proavus","Eukaryota","Metazoa","Platyhelminthes","Rhabditophora","Rhabdocoela","Polycystididae","Gyratrix","KJ887456.1",594,0,0,1,20,590,566,1,590
"17","1524986","667755526","Polycystis ali","Eukaryota","Metazoa","Platyhelminthes","Rhabditophora","Rhabdocoela","Polycystididae","Polycystis","KJ887460.1",599,0,0,1,20,595,571,1,595
