"","taxId","gi","species","superkingdom","phylum","order","family","genus","kingdom","class","accession","product_length","mismatch_forward","mismatch_reverse","forward_start","forward_stop","reverse_start","reverse_stop","product_start","product_stop"
"1","105609","1253553585","Montipora aequituberculata","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Montipora","Metazoa","Anthozoa","LT631103.1",626,0,0,650,666,1275,1257,650,1275
"2","105614","1253553566","Isopora brueggemanni","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Isopora","Metazoa","Anthozoa","LT631084.1",658,0,0,546,562,1203,1185,546,1203
"3","1108961","421976377","Quadrulella symmetrica","Eukaryota","Tubulinea","Arcellinida","Hyalospheniidae","Quadrulella","Unassigned","Elardia","JQ519511.1",713,0,0,549,565,1261,1243,549,1261
"4","1150134","1253553604","Pavona duerdeni","Eukaryota","Cnidaria","Scleractinia","Agariciidae","Pavona","Metazoa","Anthozoa","LT631122.1",602,0,0,560,576,1161,1143,560,1161
"5","1150135","1253553602","Pavona explanulata","Eukaryota","Cnidaria","Scleractinia","Agariciidae","Pavona","Metazoa","Anthozoa","LT631120.1",602,0,0,560,576,1161,1143,560,1161
"6","1174592","1817977172","Cadlinella subornatissima","Eukaryota","Mollusca","Nudibranchia","Chromodorididae","Cadlinella","Metazoa","Gastropoda","MN224106.1",616,0,0,532,548,1147,1129,532,1147
"7","117784","1253553510","Acropora secale","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Acropora","Metazoa","Anthozoa","LT631028.1",637,0,0,552,568,1188,1170,552,1188
"8","117785","1253553555","Acropora vaughani","Eukaryota","Cnidaria","Scleractinia","Acroporidae","Acropora","Metazoa","Anthozoa","LT631073.1",650,0,0,567,583,1216,1198,567,1216
"9","1196302","1799945196","Corvus moneduloides","Eukaryota","Chordata","Passeriformes","Corvidae","Corvus","Metazoa","Aves","XR_004241964.1",608,0,0,567,583,1174,1156,567,1174
"10","1198971","1815646378","Scrippsiella bicarinata","Eukaryota","Unassigned","Thoracosphaerales","Thoracosphaeraceae","Scrippsiella","Unassigned","Dinophyceae","MH497031.1",605,0,0,491,507,1095,1077,491,1095
"11","1211407","944556495","Rhizomastix libera","Eukaryota","Evosea","Unassigned","Unassigned","Rhizomastix","Unassigned","Unassigned","KP343630.1",657,0,0,507,523,1163,1145,507,1163
"12","1227378","1811401763","Starmerella syriaca","Eukaryota","Ascomycota","Saccharomycetales","Unassigned","Starmerella","Fungi","Saccharomycetes","NG_067631.1",569,0,0,433,449,1001,983,433,1001
