"","taxId","gi","species","superkingdom","kingdom","phylum","class","order","family","genus","accession","product_length","mismatch_forward","mismatch_reverse","forward_start","forward_stop","reverse_start","reverse_stop","product_start","product_stop"
"1","1129443","365776146","Cryptosporidium sp. 1 seal AB-2011","Eukaryota","Unassigned","Apicomplexa","Conoidasida","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","JN860882.1",323,1,0,1,23,323,303,1,323
"2","1132025","371535747","Cryptosporidium sp. giant panda genotype","Eukaryota","Unassigned","Apicomplexa","Conoidasida","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","JN588571.1",323,3,2,601,623,923,903,601,923
"3","1136897","336043931","Cryptosporidium sp. W20486","Eukaryota","Unassigned","Apicomplexa","Conoidasida","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","HQ822147.1",323,3,1,44,66,366,346,44,366
"4","117008","357433526","Cryptosporidium andersoni","Eukaryota","Unassigned","Apicomplexa","Conoidasida","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","JQ031811.1",323,0,0,1,23,323,303,1,323
"5","1176757","441431305","Cryptosporidium viatorum","Eukaryota","Unassigned","Apicomplexa","Conoidasida","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","JX978274.1",323,2,0,588,610,910,890,588,910
"6","1233318","406598968","Cryptosporidium sp. Weddell seal genotype","Eukaryota","Unassigned","Apicomplexa","Conoidasida","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","JQ740105.1",323,1,0,1,23,323,303,1,323
"7","1239306","408358472","Cryptosporidium scrofarum","Eukaryota","Unassigned","Apicomplexa","Conoidasida","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","JX424842.1",323,1,0,2,24,324,304,2,324
"8","1280935","441431307","Cryptosporidium sp. chipmunk genotype I","Eukaryota","Unassigned","Apicomplexa","Conoidasida","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","JX978275.1",323,2,0,588,610,910,890,588,910
"9","1417317","530306038","Cryptosporidium sp. chipmunk genotype II","Eukaryota","Unassigned","Apicomplexa","Conoidasida","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","KC954245.1",323,3,1,564,586,886,866,564,886
"10","1417600","530306048","Cryptosporidium sp. chipmunk genotype IV","Eukaryota","Unassigned","Apicomplexa","Conoidasida","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","KC954250.1",323,3,2,565,587,887,867,565,887
"11","1429248","559783733","Cryptosporidium erinacei","Eukaryota","Unassigned","Apicomplexa","Conoidasida","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","KF612325.1",323,1,0,579,601,901,881,579,901
"12","1529606","893151207","Cryptosporidium sp. deer genotype","Eukaryota","Unassigned","Apicomplexa","Conoidasida","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","LC019009.1",323,2,2,607,629,929,909,607,929
"13","153269","67937658","Babesia sp. WA1","Eukaryota","Unassigned","Apicomplexa","Aconoidasida","Piroplasmida","Babesiidae","Babesia","DQ007005.1",323,3,2,798,820,1120,1100,798,1120
"14","1569928","705244116","Cryptosporidium sp. OTUi AVK-2014","Eukaryota","Unassigned","Apicomplexa","Conoidasida","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","KJ506849.1",323,1,1,54,76,376,356,54,376
"15","1574293","831181546","Cryptosporidium sp. skunk-like genotype","Eukaryota","Unassigned","Apicomplexa","Conoidasida","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","LC011444.1",323,2,0,566,588,888,868,566,888
"16","1808962","1002342179","Cryptosporidium avium","Eukaryota","Unassigned","Apicomplexa","Conoidasida","Eucoccidiorida","Cryptosporidiidae","Cryptosporidium","KU058886.1",323,2,2,595,617,917,897,595,917
