"","taxId","gi","species","superkingdom","phylum","class","family","genus","kingdom","order","accession","product_length","mismatch_forward","mismatch_reverse","forward_start","forward_stop","reverse_start","reverse_stop","product_start","product_stop"
"1","100774","1805522493","Pecten jacobaeus","Eukaryota","Mollusca","Bivalvia","Pectinidae","Pecten","Metazoa","Pectinoida","MT020507.1",374,1,1,17,38,390,373,17,390
"2","102316","12831938","Excellichlamys spectabilis","Eukaryota","Mollusca","Bivalvia","Pectinidae","Excellichlamys","Metazoa","Pectinoida","AJ389648.1",375,0,1,21,42,395,378,21,395
"3","1036758","1694443762","Parasarocladium radiatum","Eukaryota","Ascomycota","Sordariomycetes","Sarocladiaceae","Parasarocladium","Fungi","Hypocreales","NG_065583.1",368,1,1,12,33,379,362,12,379
"4","1036766","1535923845","Acremonium spinosum","Eukaryota","Ascomycota","Sordariomycetes","Unassigned","Acremonium","Fungi","Hypocreales","NG_062819.1",367,1,1,12,33,378,361,12,378
"5","1036770","1535923847","Acremonium vitellinum","Eukaryota","Ascomycota","Sordariomycetes","Unassigned","Acremonium","Fungi","Hypocreales","NG_062821.1",367,1,1,5,26,371,354,5,371
"6","108002","1798058308","Scaphander punctostriatus","Eukaryota","Mollusca","Gastropoda","Scaphandridae","Scaphander","Metazoa","Cephalaspidea","MH933325.1",391,1,1,6,27,396,379,6,396
"7","112509","1768674649","Hordeum vulgare","Eukaryota","Streptophyta","Magnoliopsida","Poaceae","Hordeum","Viridiplantae","Poales","LR722623.1",1382,1,2,77288339,77288360,77289720,77289699,77288339,77289720
"8","113626","1632313449","Thielavia australiensis","Eukaryota","Ascomycota","Sordariomycetes","Chaetomiaceae","Thielavia","Fungi","Sordariales","NG_064993.1",367,1,1,13,34,379,362,13,379
"9","114818","1559669223","Xylaria longipes","Eukaryota","Ascomycota","Sordariomycetes","Xylariaceae","Xylaria","Fungi","Xylariales","MK408619.1",367,1,1,12,33,378,361,12,378
"10","1159556","1632313293","Ustilaginoidea virens","Eukaryota","Ascomycota","Sordariomycetes","Unassigned","Ustilaginoidea","Fungi","Hypocreales","NG_064837.1",367,1,1,29,50,395,378,29,395
"11","1209916","1714599724","Colletotrichum costaricense","Eukaryota","Ascomycota","Sordariomycetes","Glomerellaceae","Colletotrichum","Fungi","Glomerellales","MK541033.1",367,1,1,6178,6199,6544,6527,6178,6544
"12","1209931","1714599723","Colletotrichum salicis","Eukaryota","Ascomycota","Sordariomycetes","Glomerellaceae","Colletotrichum","Fungi","Glomerellales","MK541032.1",367,1,1,6176,6197,6542,6525,6176,6542
"13","1209934","1714599720","Colletotrichum tamarilloi","Eukaryota","Ascomycota","Sordariomycetes","Glomerellaceae","Colletotrichum","Fungi","Glomerellales","MK541029.1",367,1,1,6155,6176,6521,6504,6155,6521
"14","120995","1634551151","Dinophilus gyrociliatus","Eukaryota","Annelida","Polychaeta","Dinophilidae","Dinophilus","Metazoa","Unassigned","MK894549.1",380,1,1,7,28,386,369,7,386
"15","1215649","399764234","Vannella sp. KONT2Pe","Eukaryota","Discosea","Flabellinia","Vannellidae","Vannella","Unassigned","Unassigned","JQ271745.1",379,0,1,29,50,407,390,29,407
"16","1215650","399764235","Vannella sp. LITHOV","Eukaryota","Discosea","Flabellinia","Vannellidae","Vannella","Unassigned","Unassigned","JQ271746.1",384,1,1,29,50,412,395,29,412
"17","1215659","399764244","Vannella sp. S4M23","Eukaryota","Discosea","Flabellinia","Vannellidae","Vannella","Unassigned","Unassigned","JQ271755.1",383,1,1,11,32,393,376,11,393
